Name,Attributes,n,n1,n2
Wikipedia edits (ca),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1433726,64855,1368871
Wikipedia edits (hu),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1280637,88875,1191762
Last.fm bands,"['Interaction network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",175069,992,174077
Pokec,"['Online social network', 'Unipartite directed', 'Unweighted no multiple edges']",1632803,,
Wikipedia edits (he),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",991424,98906,892518
Wikipedia edits (fa),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3732366,134986,3597380
Last.fm songs,"['Interaction network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1085612,992,1084620
Wikipedia links (ro),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",903416,,
Wikipedia links (id),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",894470,,
Wikipedia edits (uk),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2219329,76189,2143140
Actor collaborations,"['Miscellaneous network', 'Unipartite undirected', 'Unweighted multiple edges']",382219,,
Filmtipset ratings,"['Rating network', 'Bipartite undirected', 'Ratings multiple edges', 'Edges are annotated with timestamps']",144671,80482,64189
Wikipedia edits (ar),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3153084,209373,2943711
Wikipedia links (war),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",2093450,,
Wikipedia links (ca),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",926636,,
Wikipedia dynamic (nl),"['Hyperlink network', 'Unipartite directed', 'Dynamic', 'Edges are annotated with timestamps', 'Contains loops']",1039252,,
Wiktionary edits (mg),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4064239,605,4063634
Wiktionary edits (fr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3433145,16874,3416271
Central USA,"['Infrastructure network', 'Unipartite directed', 'Unweighted no multiple edges']",14081816,,
Google+ (IMC12),"['Feature network', 'Bipartite undirected', 'Unweighted no multiple edges', 'Edges are annotated with timestamps']",10442421,5998790,4443631
Wikipedia edits (vi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3585652,72931,3512721
Wikipedia talk (en),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",2987535,,
Wikipedia links (hu),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",621511,,
Wikipedia links (es),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",3033373,,
Wikipedia dynamic (pl),"['Hyperlink network', 'Unipartite directed', 'Dynamic', 'Edges are annotated with timestamps', 'Contains loops']",1033050,,
Wikipedia links (vi),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",1372591,,
LiveJournal links,"['Online social network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Contains loops', 'Is a snapshot and likely to not contain all data']",5204176,,
DBLP,"['Coauthorship network', 'Unipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Is the join of an underlying network']",1824701,,
Wikipedia links (pt),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",1744781,,
Wikipedia links (uk),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",1201408,,
Reuters,"['Text network', 'Bipartite undirected', 'Unweighted multiple edges']",1065176,781265,283911
Wikipedia links (nl),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",2622756,,
Wikipedia edits (pt),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4784188,369604,4414584
Wikipedia edits (sv),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",7751738,161302,7590436
Flickr,"['Online social network', 'Unipartite directed', 'Unweighted no multiple edges', 'Edges are annotated with timestamps']",2302925,,
Wikipedia edits (zh),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",5339125,307653,5031472
Wikipedia links (ar),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",1073810,,
Wikipedia dynamic (it),"['Hyperlink network', 'Unipartite directed', 'Dynamic', 'Edges are annotated with timestamps', 'Contains loops']",1204009,,
Wikipedia links (fa),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",2105723,,
NY Times,"['Text network', 'Bipartite undirected', 'Unweighted multiple edges']",401388,299752,101636
Wikipedia links (pl),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",1688608,,
Full USA,"['Infrastructure network', 'Unipartite directed', 'Unweighted no multiple edges']",23947347,,
Wikipedia edits (sh),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4589850,10036,4579814
Wikipedia links (zh),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",1786381,,
Wikipedia edits (pl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2872213,207781,2664432
Zhishi,"['Hyperlink network', 'Unipartite directed', 'Unweighted multiple edges', 'Contains loops']",7827192,,
LiveJournal,"['Online social network', 'Unipartite directed', 'Unweighted no multiple edges']",4846609,,
Wikipedia edits (nl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4021196,220847,3800349
Wikipedia edits (ja),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3570948,444563,3126385
Wikipedia links (ceb),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",7891015,,
Wikipedia growth (en),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Edges are annotated with timestamps']",1870709,,
Wiktionary edits (en),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",5892253,66140,5826113
Wikipedia links (ja),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",1767268,,
Wikipedia links (ru),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",3370462,,
Wikipedia links (de),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",3603726,,
Wikipedia links (sh),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",3924218,,
TREC (disks 4–5),"['Text network', 'Bipartite undirected', 'Unweighted multiple edges']",1729302,556077,1173225
Wikipedia links (it),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",2148791,,
Wikipedia links (sv),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",6100692,,
Wikipedia dynamic (fr),"['Hyperlink network', 'Unipartite directed', 'Dynamic', 'Edges are annotated with timestamps', 'Contains loops']",2212682,,
LiveJournal,"['Affiliation network', 'Bipartite undirected', 'Unweighted no multiple edges']",10690276,3201203,7489073
Wikipedia edits (ru),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",5746517,414198,5332319
Wikipedia edits (it),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",5200968,343860,4857108
Wikipedia edits (es),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",6888897,953483,5935414
Stack Overflow,"['Online contact network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops', 'Is a snapshot and likely to not contain all data']",2601977,,
Orkut,"['Online social network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data', 'Only the largest connected component of the original data is included']",3072441,,
Wikipedia links (fr),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",3333397,,
Wikipedia links (sr),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",3175009,,
Web trackers,"['Hyperlink network', 'Bipartite undirected', 'Unweighted no multiple edges']",40421974,27665730,12756244
Wikipedia dynamic (de),"['Hyperlink network', 'Unipartite directed', 'Dynamic', 'Edges are annotated with timestamps', 'Contains loops']",2166669,,
Netflix,"['Rating network', 'Bipartite undirected', 'Ratings no multiple edges', 'Edges are annotated with timestamps', 'Is a snapshot and likely to not contain all data']",497959,480189,17770
Amazon,"['Rating network', 'Bipartite undirected', 'Ratings no multiple edges', 'Edges are annotated with timestamps']",31050733,21176522,9874211
DBpedia links,"['Hyperlink network', 'Unipartite directed', 'Unweighted multiple edges']",18268992,,
Wikipedia edits (fr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",9628383,757621,8870762
Wikipedia edits (de),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",6935516,1025084,5910432
UK domain (2002),"['Hyperlink network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data', 'Is not directed but the underlying data is', 'Does not have multiple edges but the underlying data has']",18483186,,
Orkut,"['Affiliation network', 'Bipartite undirected', 'Unweighted no multiple edges']",11514053,2783196,8730857
Yahoo songs,"['Rating network', 'Bipartite undirected', 'Ratings no multiple edges', 'Edges are annotated with timestamps']",1625951,1000990,624961
Wikipedia links (en),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",13593032,,
PubMed,"['Text network', 'Bipartite undirected', 'Unweighted multiple edges']",8341043,8200000,141043
Delicious user–tag,"['Interaction network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Is a snapshot and likely to not contain all data']",5345180,833081,4512099
Delicious tag–item,"['Feature network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Is a snapshot and likely to not contain all data']",38289740,4511972,33777768
Delicious user–item,"['Interaction network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Is a snapshot and likely to not contain all data']",34611302,833081,33778221
Google+ (IMC12),"['Online social network', 'Unipartite directed', 'Unweighted no multiple edges', 'Edges are annotated with timestamps']",28943739,,
Wikipedia edits (en),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",50757442,8116897,42640545
Twitter (WWW),"['Online social network', 'Unipartite directed', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data', 'Only the largest connected component of the original data is included']",41652230,,
Twitter (MPI),"['Online social network', 'Unipartite directed', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data']",52579682,,
Friendster,"['Online social network', 'Unipartite directed', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data']",68349466,,
UK domain (2007),"['Hyperlink network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data', 'Is not directed but the underlying data is', 'Does not have multiple edges but the underlying data has']",105153952,,
